Channels:	1
Count:	8641
Start:	2460636.215520833	11/21/24 17:10:21
End:	2460636.215520833	11/22/24 17:10:11
Parameters:	4
NonRem	2
REM	3
Unscored	255
Wake	1

Date	Time	Time Stamp	Time from Start	yijan_0_Numeric
11/21/24	17:10:21	0	0.0	2
11/21/24	17:10:31	0	10.0	1
11/21/24	17:10:41	0	20.0	1
11/21/24	17:10:51	0	30.0	2
11/21/24	17:11:01	0	40.0	1
11/21/24	17:11:11	0	50.0	1
11/21/24	17:11:21	0	60.0	1
11/21/24	17:11:31	0	70.0	2
11/21/24	17:11:41	0	80.0	2
11/21/24	17:11:51	0	90.0	1
11/21/24	17:12:01	0	100.0	1
11/21/24	17:12:11	0	110.0	1
11/21/24	17:12:21	0	120.0	2
11/21/24	17:12:31	0	130.0	2
11/21/24	17:12:41	0	140.0	1
11/21/24	17:12:51	0	150.0	1
11/21/24	17:13:01	0	160.0	1
11/21/24	17:13:11	0	170.0	2
11/21/24	17:13:21	0	180.0	2
11/21/24	17:13:31	0	190.0	1
11/21/24	17:13:41	0	200.0	2
11/21/24	17:13:51	0	210.0	1
11/21/24	17:14:01	0	220.0	2
11/21/24	17:14:11	0	230.0	2
11/21/24	17:14:21	0	240.0	1
11/21/24	17:14:31	0	250.0	2
11/21/24	17:14:41	0	260.0	2
11/21/24	17:14:51	0	270.0	1
11/21/24	17:15:01	0	280.0	1
11/21/24	17:15:11	0	290.0	1
11/21/24	17:15:21	0	300.0	2
11/21/24	17:15:31	0	310.0	1
11/21/24	17:15:41	0	320.0	1
11/21/24	17:15:51	0	330.0	2
11/21/24	17:16:01	0	340.0	1
11/21/24	17:16:11	0	350.0	1
11/21/24	17:16:21	0	360.0	2
11/21/24	17:16:31	0	370.0	2
11/21/24	17:16:41	0	380.0	2
11/21/24	17:16:51	0	390.0	1
11/21/24	17:17:01	0	400.0	2
11/21/24	17:17:11	0	410.0	2
11/21/24	17:17:21	0	420.0	2
11/21/24	17:17:31	0	430.0	2
11/21/24	17:17:41	0	440.0	2
11/21/24	17:17:51	0	450.0	1
11/21/24	17:18:01	0	460.0	2
11/21/24	17:18:11	0	470.0	2
11/21/24	17:18:21	0	480.0	1
11/21/24	17:18:31	0	490.0	1
11/21/24	17:18:41	0	500.0	1
11/21/24	17:18:51	0	510.0	1
11/21/24	17:19:01	0	520.0	1
11/21/24	17:19:11	0	530.0	1
11/21/24	17:19:21	0	540.0	1
11/21/24	17:19:31	0	550.0	1
11/21/24	17:19:41	0	560.0	1
11/21/24	17:19:51	0	570.0	1
11/21/24	17:20:01	0	580.0	1
11/21/24	17:20:11	0	590.0	1
11/21/24	17:20:21	0	600.0	1
11/21/24	17:20:31	0	610.0	1
11/21/24	17:20:41	0	620.0	1
11/21/24	17:20:51	0	630.0	1
11/21/24	17:21:01	0	640.0	1
11/21/24	17:21:11	0	650.0	1
11/21/24	17:21:21	0	660.0	1
11/21/24	17:21:31	0	670.0	1
11/21/24	17:21:41	0	680.0	1
11/21/24	17:21:51	0	690.0	1
11/21/24	17:22:01	0	700.0	1
11/21/24	17:22:11	0	710.0	1
11/21/24	17:22:21	0	720.0	1
11/21/24	17:22:31	0	730.0	1
11/21/24	17:22:41	0	740.0	1
11/21/24	17:22:51	0	750.0	1
11/21/24	17:23:01	0	760.0	1
11/21/24	17:23:11	0	770.0	1
11/21/24	17:23:21	0	780.0	1
11/21/24	17:23:31	0	790.0	1
11/21/24	17:23:41	0	800.0	1
11/21/24	17:23:51	0	810.0	1
11/21/24	17:24:01	0	820.0	1
11/21/24	17:24:11	0	830.0	1
11/21/24	17:24:21	0	840.0	1
11/21/24	17:24:31	0	850.0	1
11/21/24	17:24:41	0	860.0	1
11/21/24	17:24:51	0	870.0	1
11/21/24	17:25:01	0	880.0	1
11/21/24	17:25:11	0	890.0	1
11/21/24	17:25:21	0	900.0	1
11/21/24	17:25:31	0	910.0	1
11/21/24	17:25:41	0	920.0	1
11/21/24	17:25:51	0	930.0	1
11/21/24	17:26:01	0	940.0	1
11/21/24	17:26:11	0	950.0	1
11/21/24	17:26:21	0	960.0	1
11/21/24	17:26:31	0	970.0	1
11/21/24	17:26:41	0	980.0	1
11/21/24	17:26:51	0	990.0	1
11/21/24	17:27:01	0	1000.0	1
11/21/24	17:27:11	0	1010.0	1
11/21/24	17:27:21	0	1020.0	1
11/21/24	17:27:31	0	1030.0	1
11/21/24	17:27:41	0	1040.0	1
11/21/24	17:27:51	0	1050.0	1
11/21/24	17:28:01	0	1060.0	1
11/21/24	17:28:11	0	1070.0	1
11/21/24	17:28:21	0	1080.0	1
11/21/24	17:28:31	0	1090.0	1
11/21/24	17:28:41	0	1100.0	1
11/21/24	17:28:51	0	1110.0	1
11/21/24	17:29:01	0	1120.0	1
11/21/24	17:29:11	0	1130.0	1
11/21/24	17:29:21	0	1140.0	1
11/21/24	17:29:31	0	1150.0	1
11/21/24	17:29:41	0	1160.0	1
11/21/24	17:29:51	0	1170.0	1
11/21/24	17:30:01	0	1180.0	1
11/21/24	17:30:11	0	1190.0	1
11/21/24	17:30:21	0	1200.0	1
11/21/24	17:30:31	0	1210.0	1
11/21/24	17:30:41	0	1220.0	1
11/21/24	17:30:51	0	1230.0	1
11/21/24	17:31:01	0	1240.0	1
11/21/24	17:31:11	0	1250.0	1
11/21/24	17:31:21	0	1260.0	2
11/21/24	17:31:31	0	1270.0	1
11/21/24	17:31:41	0	1280.0	1
11/21/24	17:31:51	0	1290.0	1
11/21/24	17:32:01	0	1300.0	1
11/21/24	17:32:11	0	1310.0	1
11/21/24	17:32:21	0	1320.0	1
11/21/24	17:32:31	0	1330.0	1
11/21/24	17:32:41	0	1340.0	2
11/21/24	17:32:51	0	1350.0	2
11/21/24	17:33:01	0	1360.0	2
11/21/24	17:33:11	0	1370.0	2
11/21/24	17:33:21	0	1380.0	2
11/21/24	17:33:31	0	1390.0	1
11/21/24	17:33:41	0	1400.0	2
11/21/24	17:33:51	0	1410.0	2
11/21/24	17:34:01	0	1420.0	2
11/21/24	17:34:11	0	1430.0	1
11/21/24	17:34:21	0	1440.0	2
11/21/24	17:34:31	0	1450.0	1
11/21/24	17:34:41	0	1460.0	2
11/21/24	17:34:51	0	1470.0	2
11/21/24	17:35:01	0	1480.0	2
11/21/24	17:35:11	0	1490.0	2
11/21/24	17:35:21	0	1500.0	1
11/21/24	17:35:31	0	1510.0	2
11/21/24	17:35:41	0	1520.0	2
11/21/24	17:35:51	0	1530.0	2
11/21/24	17:36:01	0	1540.0	2
11/21/24	17:36:11	0	1550.0	2
11/21/24	17:36:21	0	1560.0	1
11/21/24	17:36:31	0	1570.0	1
11/21/24	17:36:41	0	1580.0	1
11/21/24	17:36:51	0	1590.0	2
11/21/24	17:37:01	0	1600.0	1
11/21/24	17:37:11	0	1610.0	1
11/21/24	17:37:21	0	1620.0	1
11/21/24	17:37:31	0	1630.0	2
11/21/24	17:37:41	0	1640.0	2
11/21/24	17:37:51	0	1650.0	2
11/21/24	17:38:01	0	1660.0	1
11/21/24	17:38:11	0	1670.0	2
11/21/24	17:38:21	0	1680.0	2
11/21/24	17:38:31	0	1690.0	2
11/21/24	17:38:41	0	1700.0	2
11/21/24	17:38:51	0	1710.0	2
11/21/24	17:39:01	0	1720.0	2
